x,E60,E70,E80,E90,E100
"3,4913","22,0148","18,0248","14,9195","12,5046","10,1761"
"3,5138","21,9398","17,9881","14,8804","12,4496","10,1288"
"3,6","21,633","17,8495","14,7327","12,2439","9,9508"
"3,8174","20,9725","17,5146","14,3795","11,7831","9,5388"
"3,9696","20,6966","17,2921","14,151","11,526","9,2935"
"3,9952","20,657","17,2558","14,1142","11,4885","9,2563"
"4,0209","20,618","17,2177","14,0777","11,4523","9,2201"
"4,0468","20,5792","17,1797","14,0415","11,4172","9,1848"
"4,1223","20,4661","17,0704","13,9386","11,3217","9,0885"
"4,5059","19,8716","16,5431","13,4576","10,92","8,7089"
"4,6012","19,7328","16,4169","13,3435","10,8269","8,6345"
"4,6607","19,6484","16,35","13,2725","10,768","8,5908"
"4,8749","19,3516","16,1101","13,0189","10,5539","8,4468"
"5,2992","18,8622","15,648","12,5667","10,1565","8,1871"
"5,3333","18,8241","15,6243","12,5348","10,1278","8,1661"
"5,3677","18,7859","15,5999","12,5035","10,0995","8,1449"
"5,437","18,7092","15,5497","12,4426","10,0442","8,1013"
"5,6144","18,5127","15,4209","12,2992","9,9132","7,986"
"6,1819","18,061","15,0187","11,9208","9,5684","7,6144"
"6,2618","17,9994","14,9788","11,8742","9,5263","7,5659"
"6,3022","17,9686","14,9582","11,8512","9,5055","7,5419"
"6,5077","17,8136","14,8531","11,7381","9,4031","7,4264"
"7,1656","17,3626","14,5292","11,4237","9,0996","7,1221"
"7,2117","17,3322","14,5094","11,4041","9,0789","7,1042"
"7,2582","17,3016","14,4894","11,3847","9,058","7,0866"
"7,352","17,2402","14,4493","11,3464","9,0159","7,0524"
"7,5432","17,1145","14,3685","11,2717","8,9312","6,9878"
"8,3592","16,7334","14,0397","10,9968","8,6075","6,7588"
"8,4131","16,7086","14,023","10,9809","8,5893","6,7449"
"8,4672","16,6837","14,006","10,9651","8,5715","6,7309"
"8,5767","16,6334","13,9716","10,934","8,537","6,7026"
"8,7434","16,5551","13,9195","10,8884","8,4878","6,6594"
"9,7517","16,2615","13,62","10,6437","8,2518","6,4088"
"9,8145","16,2436","13,6028","10,6295","8,2396","6,3946"
"9,8777","16,2257","13,5855","10,6153","8,2274","6,3805"
"10,0054","16,1898","13,5509","10,5869","8,2034","6,3529"
"10,1999","16,1354","13,4989","10,5439","8,168","6,3127"
"11,3761","15,8419","13,2004","10,2954","7,9715","6,1133"
"11,4494","15,8243","13,1859","10,2805","7,9597","6,103"
"11,5231","15,8066","13,1711","10,2656","7,9477","6,0929"
"11,672","15,7709","13,1412","10,2356","7,9237","6,073"
"11,899","15,7158","13,096","10,1905","7,8873","6,0442"
"13,1862","15,5227","12,8506","9,9465","7,7006","5,9047"
"13,3566","15,4978","12,8218","9,9158","7,6798","5,888"
"13,6164","15,4606","12,7784","9,8698","7,6501","5,863"
"13,7923","15,4359","12,7493","9,8392","7,6312","5,8461"
"14,6127","15,296","12,618","9,7045","7,5528","5,7689"
"15,3828","15,1987","12,5009","9,5924","7,4866","5,6982"
"15,582","15,1755","12,4723","9,566","7,4698","5,6802"
"15,885","15,1411","12,4292","9,5279","7,444","5,6529"
"17,047","15,0161","12,27","9,3989","7,3466","5,5531"
"17,945","14,924","12,1511","9,309","7,2767","5,4861"
"18,177","14,9007","12,1295","9,2861","7,2597","5,4709"
"18,65","14,8539","12,0844","9,2398","7,2267","5,4429"
"19,887","14,7362","11,9681","9,1235","7,1456","5,3867"
"20,935","14,6422","11,8712","9,0363","7,0773","5,3433"
"21,342","14,6071","11,8461","9,0062","7,0497","5,3243"
"21,757","14,5721","11,8199","8,9781","7,0208","5,3028"
"23,199","14,4563","11,7311","8,893","6,923","5,2149"
"24,422","14,3648","11,6612","8,8244","6,8579","5,1428"
"24,897","14,3303","11,6269","8,7962","6,8397","5,1191"
"25,544","14,2839","11,5823","8,7554","6,8216","5,0927"
"27,064","14,1764","11,4824","8,6528","6,7976","5,0586"
"28,674","14,0645","11,3813","8,5415","6,7784","5,0403"
"29,044","14,04","11,3643","8,5163","6,7727","5,0355"
"29,231","14,0278","11,3556","8,5038","6,7694","5,0327"
"29,8","13,9923","11,3293","8,4662","6,7578","5,0225"
"31,572","13,8965","11,2494","8,3565","6,7096","4,9752"
"33,45","13,8202","11,1712","8,2567","6,6497","4,9191"
"33,882","13,8046","11,1472","8,2364","6,6361","4,9075"
"34,1","13,7969","11,1355","8,2266","6,6293","4,9019"
"34,987","13,7655","11,089","8,1893","6,6027","4,8823"
"37,069","13,6865","10,9853","8,112","6,5476","4,8538"
"39,022","13,598","10,8914","8,0442","6,5063","4,8362"
"39,526","13,5739","10,875","8,0264","6,4974","4,8313"
"40,037","13,5493","10,8581","8,0081","6,4891","4,8258"
"41,079","13,5","10,8234","7,9705","6,4745","4,812"
"43,243","13,4066","10,7529","7,8956","6,4512","4,7709"
"45,522","13,3283","10,6813","7,8302","6,4315","4,72"
"46,111","13,3107","10,664","7,8164","6,4266","4,7072"
"47,007","13,2853","10,6379","7,798","6,4188","4,6888"
"47,921","13,2608","10,6118","7,7816","6,4105","4,6719"
"50,447","13,1966","10,5418","7,742","6,3862","4,6363"
"53,105","13,1296","10,4713","7,6973","6,362","4,6135"
"54,138","13,1035","10,4469","7,6762","6,3537","4,608"
"54,838","13,0859","10,4304","7,6603","6,3486","4,6052"
"56,264","13,0502","10,3974","7,6245","6,3392","4,6016"
"58,85","12,9866","10,3389","7,5563","6,3234","4,601"
"62,351","12,9045","10,2613","7,4791","6,298","4,604"
"63,157","12,8868","10,2504","7,4662","6,2907","4,6043"
"64,385","12,8608","10,233","7,4509","6,2783","4,6039"
"66,059","12,8279","10,2093","7,4364","6,2586","4,6012"
"69,096","12,7766","10,1675","7,4205","6,2182","4,5893"
"72,737","12,7294","10,1211","7,4045","6,1701","4,5667"
"74,152","12,7135","10,0952","7,3959","6,1533","4,5565"
"75,594","12,6976","10,07","7,3848","6,1381","4,5458"
"77,56","12,6753","10,0368","7,3663","6,1211","4,5309"
"80,606","12,6364","9,9871","7,3326","6,1013","4,5086"
"85,4","12,5615","9,9111","7,2752","6,0793","4,4793"
"87,061","12,534","9,8943","7,2558","6,0725","4,4717"
"88,186","12,5154","9,8825","7,2432","6,0679","4,4676"
"91,063","12,4694","9,8523","7,2126","6,0553","4,4606"
"94,033","12,4264","9,8215","7,1833","6,0417","4,4591"
"98,989","12,368","9,771","7,138","6,0185","4,4625"
"101,564","12,3437","9,7498","7,1156","6,0066","4,4641"
"103,539","12,3275","9,7335","7,0988","5,9976","4,4642"
"106,916","12,3045","9,706","7,0705","5,9826","4,4602"
"110,404","12,2862","9,678","7,0418","5,9678","4,4495"
"116,222","12,2653","9,6308","6,994","5,9445","4,4233"
"118,482","12,2586","9,6232","6,9755","5,9359","4,4128"
"120,786","12,2517","9,6147","6,9566","5,9273","4,403"
"124,726","12,2383","9,6","6,9251","5,9132","4,39"
"129,624","12,216","9,5823","6,8889","5,8965","4,3821"
"136,455","12,1712","9,5605","6,8477","5,8741","4,3815"
"139,109","12,1519","9,5406","6,8353","5,8656","4,3832"
"141,814","12,1323","9,5219","6,825","5,857","4,3854"
"146,44","12,1015","9,4916","6,8111","5,8426","4,3896"
"151,217","12,0758","9,4618","6,7993","5,8279","4,3933"
"158,17","12,0516","9,4204","6,7818","5,8072","4,3964"
"163,33","12,0395","9,3923","6,7651","5,7926","4,3961"
"165,44","12,035","9,381","6,7567","5,7868","4,3952"
"171,93","12,0209","9,3466","6,7263","5,7696","4,3892"
"177,54","12,0055","9,3174","6,6964","5,7555","4,38"
"184,51","11,9794","9,2803","6,6575","5,7387","4,3647"
"190,53","11,9518","9,2683","6,6249","5,7248","4,3495"
"194,24","11,9333","9,2601","6,606","5,7165","4,3396"
"201,87","11,8933","9,2428","6,5698","5,6998","4,3189"
"207,12","11,8654","9,231","6,5466","5,6887","4,305"
"216,64","11,8171","9,21","6,507","5,6691","4,282"
"222,27","11,7912",nan,"6,4848","5,6577","4,2702"
